@relation 'TrainingData_g3-1-weka.filters.unsupervised.attribute.Remove-V-R11,13,16,21,25'

@attribute current_TV_livingroom {off,standby,on}
@attribute current_xbox_livingroom {off,standby,on}
@attribute current_AC_livingroom {off,standby,on}
@attribute people_livingroom {off,on}
@attribute class {OtherActivity,g3-1}

@data
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
on,standby,standby,on,g3-1
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
off,standby,standby,off,OtherActivity
